comparison_group_id,topic,representative_title,years_found,four_year_complete,geographies_found,same_geography_candidate,column_counts,exact_column_structure,header_field_counts,similar_header_width,units_found,unit_consistency_candidate,contract_candidate_status,same_business_definition_confirmed,same_grain_confirmed,same_geography_confirmed,same_unit_definition_confirmed,totals_handling_confirmed,source_notes_reviewed,final_source_decision,decision_reason
FY-013,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,19 | 20,NO,9 | 10,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-014,Workforce,Health Manpower at Private Sector in the last Five Years,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,16 | 19,NO,9,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-015,Workforce,Table 4-40,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,3 | 17 | 18 | 30,NO,3 | 14 | 15,NO,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-016,Capacity,Prince Mohammad Bin Abdulaziz Hospital,2021 | 2022 | 2023 | 2024,YES,HEALTH_REGION | UNKNOWN_OR_NATIONAL,NO,6 | 10 | 14 | 32,NO,5,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-017,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",2021 | 2022 | 2023 | 2024,YES,HEALTH_REGION | UNKNOWN_OR_NATIONAL,NO,6 | 31 | 32,NO,5,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-018,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2021G.",2021 | 2022 | 2023 | 2024,YES,HEALTH_REGION,YES,7,YES,5,YES,COUNT,YES,STRONG_CANDIDATE,,,,,,,,
FY-020,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,9,YES,5 | 7,YES,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-021,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2021G.",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,10 | 13,NO,7,YES,RATE,YES,REVIEW_REQUIRED,,,,,,,,
FY-022,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2021G",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,14,YES,6,YES,COUNT | PERCENT,YES,REVIEW_REQUIRED,,,,,,,,
FY-023,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,9,YES,5 | 7,YES,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-024,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2021G",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,59,YES,13,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-025,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,9 | 12 | 14,NO,7 | 9 | 10,NO,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-026,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2021G.",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,8 | 9 | 10,NO,6,YES,COUNT | PERCENT,YES,REVIEW_REQUIRED,,,,,,,,
FY-028,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,12 | 14 | 15,NO,7 | 9 | 10,NO,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-029,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2021م.,2021 | 2022 | 2023 | 2024,YES,HEALTH_REGION,YES,5 | 7 | 8 | 37,NO,5 | 7,YES,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-030,Activity,Table 4-48,2021 | 2022 | 2023 | 2024,YES,HEALTH_REGION | UNKNOWN_OR_NATIONAL,NO,7 | 10 | 12 | 16 | 21 | 23 | 25 | 26 | 30,NO,7 | 9 | 10,NO,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-031,Capacity | Activity,King Faisal Specialist Hospital,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,12,YES,6,YES,COUNT,YES,REVIEW_REQUIRED,,,,,,,,
FY-032,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,22 | 25 | 26,NO,1 | 2,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-033,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,10 | 26,NO,1 | 2,YES,PERCENT,YES,REVIEW_REQUIRED,,,,,,,,
FY-034,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,7 | 26 | 27,NO,1 | 2,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-036,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,17 | 26,NO,1 | 2,YES,,YES,REVIEW_REQUIRED,,,,,,,,
